country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","15-11-2025 23:00:00",20.34652,85.81630,CO,4,106,57
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","15-11-2025 23:00:00",22.06156703,85.47409613,PM10,102,153,124
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","15-11-2025 23:00:00",22.06156703,85.47409613,NH3,4,4,4
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","15-11-2025 23:00:00",22.06156703,85.47409613,SO2,1,101,18
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","15-11-2025 23:00:00",21.8004996,83.8396977,SO2,14,15,15
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","15-11-2025 23:00:00",20.94185,86.11510,NH3,2,3,2
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","15-11-2025 23:00:00",20.94185,86.11510,SO2,6,29,17
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","15-11-2025 23:00:00","20.48891     ","85.84768     ",PM10,121,404,196
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","15-11-2025 23:00:00","20.48891     ","85.84768     ",NH3,2,5,4
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","15-11-2025 23:00:00","20.48891     ","85.84768     ",SO2,6,27,15
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","15-11-2025 23:00:00",21.643900,85.599355,CO,3,102,39
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM","15-11-2025 23:00:00",18.664282,73.763966,CO,34,82,56
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","15-11-2025 23:00:00"," 16.5038",74.3623,PM2.5,94,302,193
